     88/99      2.2G   0.02144  0.003097         0   0.02454        32       640      0.96    0.9501    0.9823    0.7427   0.03137  0.004036         0
     89/99      2.2G    0.0218   0.00312         0   0.02492        38       640     0.971    0.9413    0.9817    0.7421   0.03075  0.004059         0
     90/99      2.2G    0.0221  0.003057         0   0.02516        33       640    0.9696    0.9361    0.9788    0.7394   0.03059  0.004059         0
     91/99      2.2G   0.02185  0.003068         0   0.02492        36       640    0.9482    0.9604    0.9809    0.7408   0.03026  0.004097         0
     92/99      2.2G   0.02253  0.003125         0   0.02565        35       640     0.967    0.9349    0.9772    0.7356   0.03046  0.004088         0
     93/99      2.2G   0.02193  0.003043         0   0.02497        26       640    0.9609    0.9412    0.9805     0.741   0.03063  0.004068         0
     94/99      2.2G   0.02162  0.003056         0   0.02468        30       640     0.966    0.9451    0.9825    0.7423   0.03054  0.004056         0
     95/99      2.2G   0.02158  0.003137         0   0.02472        29       640    0.9623     0.945    0.9811    0.7411   0.03096  0.004025         0
     96/99      2.2G   0.02146  0.003159         0   0.02462        39       640    0.9673     0.945    0.9824    0.7403   0.03018  0.004041         0
     97/99      2.2G   0.02171  0.003038         0   0.02475        45       640    0.9659    0.9425    0.9813    0.7441   0.03041  0.004057         0
     98/99      2.2G   0.02185  0.002962         0   0.02481        38       640    0.9672    0.9425    0.9817    0.7428   0.03015  0.004068         0
     99/99      2.2G   0.02184   0.00301         0   0.02485        27       640    0.9634    0.9425    0.9808    0.7426      0.03  0.004093         0
